borrower_id,country_of_residency,first_name,last_name,phone_number,email
14c91c7a9ba99bddddfd6d1a55e33b09,FI,Ava,Davis,35811323835,ava5@gmail.com
b7e7e8c63de44df6a39220262527ffb9,FI,Samuel,Ramirez,358132507888,samuel.ramirez@outlook.com
b371320bf5c9d095725ad6e621eef6ad,EE,Alexander,Ramirez,372113566412,a.ramirez@mail.ee
8ca14e328eca8c6aca319140b10babfb,EE,Sofia,Anderson,372550982106,sofiaanderson@mail.ee
4386de09f5d0cc8a82a052c9491bb977,FI,Charlotte,Martinez,35856213756,charlottemartinez@live.fi
86f6c8dbc74634291f389e1e502baf0a,FI,Ava,Hall,358792376169,avahall@hotmail.com
debf4a9c412380069966a10f992f9dad,NL,Aiden,White,3144778272,aiden.white@outlook.com
45cc4476b6e54010c9be1992f6661b02,FI,Emily,Torres,35885683959,emilytorres@hotmail.com
1567136a2e42fb2d429ccfa5e7d78589,FI,Luke,Lee,358685634259,lukelee@live.fi
e6404211e9692bae4abdfd5fdb9d48dc,NL,Michael,Parker,31192221827,michaelparker@hotmail.nl
15a23244457ae6994d64a95fc68b089f,FI,Christopher,Perez,35882506758,christopher86@live.fi
79290463399f47c68444c450bd7124ef,ES,Aiden,Johnson,3449148963,aiden67@hotmail.es
4554baf5b411cb2895906c9ea10bc77d,FI,Matthew,Collins,35885200270,matthew88@hotmail.com
25d11b26a3a14ee75f2376b045e1f0c2,FI,Joseph,Nguyen,358562736371,j.nguyen@gmail.com
0755e887054e161a91e692d1eacb8526,FI,Liam,Diaz,35838252737,liam75@outlook.com
3a508bfcc41f457a8f850f7e989377de,EE,Liam,Robinson,372153740433,liam.robinson@hot.ee
640c0a07755028cb6e033dfe7809c99c,EE,Luke,Roberts,37271792546,luke12@hot.ee
5897aca6c101a132a10537609a70b14e,FI,Grace,Anderson,35817697615,graceanderson@outlook.com
9cb8d175ddd837237eeef84fa0942978,FI,Harper,Parker,35809875655,h.parker@gmail.com
6f7141656cac853374d7ac5e87453346,FI,Layla,Rodriguez,35886331106,l.rodriguez@live.fi
44c8a7e1cf387bf05d2a32bc407b04be,FI,Daniel,Harris,35863488634,daniel87@live.fi
aa2deb46abfaecc870c699a00624ca26,FI,Victoria,Martin,35833645175,v.martin@gmail.com
7357ae713790e23ad7dee65b95c35e30,FI,John,Phillips,35866215938,johnphillips@outlook.com
09b7086e982bff487871a9d10dea3e5c,EE,Evelyn,Nguyen,372664763396,evelyn.nguyen@mail.ee
8243d6cf7187553730eefd14018805b9,NL,Liam,Edwards,3142821468,liam38@outlook.com
5f3eaec6f87b4eea2b4911d3e3deef37,EE,Lily,White,372342089630,lily47@hot.ee
0ef44ac035c8906e283b7b84085710d1,FI,Sebastian,Lee,35887565026,s.lee@outlook.com
f2e9b406db408dbfcf8ba60966850517,FI,Elizabeth,Walker,35845459346,elizabethwalker@gmail.com
35c092ee58ae85c2a21285bfcd701cb4,FI,Abigail,Turner,35811848732,abigail63@gmail.com
ac51a78e91c6c8b97e665e4c13f1540e,FI,Isabella,Garcia,35811915749,isabellagarcia@gmail.com
5cefee0b1b2252d16fada3f8dd5e977c,EE,Daniel,Williams,37249635605,danielwilliams@gmail.com
03c31b48feab35e3fb40a960eb4647d4,FI,Jack,Gonzalez,358129230668,jack.gonzalez@gmail.com
f2833336926006165a8ab73aca86be5f,FI,Aubrey,Martin,358601075223,aubreymartin@gmail.com
c7a2ca08cb548db0d60d6781a0b3b097,NL,Jack,Gomez,3181823551,j.gomez@gmail.com
c3ab506a79b30d8306cbab04f602f4fa,FI,Grace,King,358735720445,grace39@live.fi
8df02a4fc83f5c7039a049b43531d2b4,EE,Owen,Lewis,37210046228,owen98@hot.ee
b9ac22723f350828887b4f95f7a89fd4,FI,Henry,Taylor,35861898722,henry85@live.fi
d7144c8b1b985f3adec1c82f1ab22232,FI,Zoey,Clark,358836881246,zoeyclark@live.fi
c019ef9b9d4cbd81f51acf471cab5d7f,FI,Sebastian,Anderson,358491445235,sebastiananderson@outlook.com
4ebb6d722b7dd9def33828eff8aa153e,NL,Scarlett,Hill,31211196831,scarlett.hill@hotmail.nl
f8a6d211a526de8feec3b888c68413da,ES,Christopher,Garcia,3497080813,christophergarcia@outlook.es
6b65178d4d5126b11e5eb17e6c731671,FI,Christopher,Johnson,358334705637,christopher10@gmail.com
95cc452a33325b85297f9281bad7088d,ES,Samuel,Hall,34699499376,samuel51@hotmail.es
450535591cececd6ad9244625403c565,EE,Sebastian,Jackson,37298818888,s.jackson@gmail.com
2a9d9fcec562f96571610dcd515def15,FI,Andrew,Lopez,35871692374,andrew41@hotmail.com
4ee0a419d2a57f1904b73a0a0afb4ced,FI,Sofia,Lopez,35816434536,sofia85@live.fi
23b8561ca66d7df10981112610f0f6f2,EE,Amelia,Turner,37212352151,amelia.turner@hot.ee
558d5a21de6f4d218fcd08207c10d16c,LV,Alexander,Wright,37165667279,alexanderwright@mail.lv
82a005f2634eab816465792455e19e38,EE,Amelia,Young,37270012642,amelia.young@hot.ee
10eb0312dcddb11487f7408b08ad3f04,FI,Natalie,Cruz,35863004680,natalie25@gmail.com
02340ee1ff74e6bda29723eea82193a7,FI,Isabella,Nelson,35834159203,isabella.nelson@hotmail.com
a407a5a96989909407819738c543dac9,FI,Penelope,Brown,35820051701,p.brown@hotmail.com
1f4fa320b859d9efb47eb81b724f62d7,FI,Sofia,Nelson,35806501168,sofianelson@hotmail.com
35dac59b7ea8248c6ff1d8fe932696c2,EE,Ava,Hill,37215595046,a.hill@hot.ee
5327ade1250e041999709ccc6e3b5227,FI,Lily,Lee,35853982454,lilylee@live.fi
c6fbfb22ac61f2539cdf09c66c00a5cc,ES,Penelope,Hall,34463242597,p.hall@outlook.es
36285ec85f39bdb46f86e5a456978089,EE,Scarlett,Mitchell,372062004089,scarlett16@hot.ee
04d33b3d86e59e6865617aa39810f51e,FI,Joseph,Edwards,358084786193,josephedwards@hotmail.com
a43cf2f82443c035fb71698da3742692,FI,Penelope,King,35833024421,penelope55@outlook.com
115710dee35108b8155f377990de88fa,FI,Alexander,Phillips,358875533222,alexanderphillips@live.fi
924e0fed5403cc320c2ef7d8f6a52f3a,FI,Sebastian,Jackson,35805079208,sebastian.jackson@outlook.com
4987504715089a12dd94b4c8e8c899aa,EE,Lillian,Nguyen,37237824218,l.nguyen@hot.ee
49a353d483d063f9707d5142fe589ada,EE,Michael,Roberts,37248251788,michaelroberts@mail.ee
74fa843c4ad2a3641e69037a30e5e52e,EE,Jackson,Nelson,372876234316,jacksonnelson@gmail.com
30b18ac990507e1e9ef8bf256df74584,FI,Charlotte,Taylor,358626530083,charlottetaylor@hotmail.com
8ba16e5f358b715c9cf496dc14766c43,ES,Harper,Turner,34866344173,h.turner@hotmail.es
42ee1888ec2c1bc838f660df4540cf55,ES,Jack,Taylor,34677575817,jacktaylor@hotmail.es
e9513a75b7ee8ecdb959c5964c4cd406,EE,David,Anderson,37290817177,d.anderson@hot.ee
3db0ba3f861e4706430f746e65ca32ef,NL,Christopher,Perez,31181998984,christopherperez@outlook.com
9b506314e30d588bbe7bed46f93a4a8c,EE,Layla,Wilson,372557602037,layla71@mail.ee
9fb4941cd420852cf70bc8f7ae7b56f4,NL,Daniel,Moore,3100938337,daniel.moore@hotmail.nl
077b75ebfa668359820737fef1a4c3e5,EE,Elizabeth,Anderson,37285288812,elizabeth.anderson@gmail.com
d16e4010e8c63427d1ee6da580d839ed,FI,Abigail,Robinson,358565291079,a.robinson@hotmail.com
57b824dedaa0b5da17961f4736f7e53a,FI,Chloe,Turner,358102391642,chloe.turner@outlook.com
a06a432441f87674f4ee76eed1022a5f,NL,Jackson,Johnson,31947546854,jackson69@outlook.com
63cda46d1d981d1b383010dbc21c73db,EE,Dylan,Sanchez,37253528355,dylansanchez@mail.ee
6c8849d16ae6aca5c0b36e6f7512601d,NL,Liam,Hernandez,31051686004,l.hernandez@gmail.com
f2fbe9047e7e2e960253cfb357baac96,EE,Ethan,Lewis,37270354879,ethan42@gmail.com
f013ec718b3c89634091c83c5de52b18,EE,Elizabeth,Carter,37267032831,elizabeth.carter@mail.ee
71b284f42e83b895d14f270e9a571d94,ES,Penelope,Hernandez,34587892039,penelope.hernandez@gmail.com
8d8b512ad42d1e5d5fad6abeeb6a1c02,EE,Isabella,Harris,372608686788,isabellaharris@mail.ee
df6295fb289f780d56319e9823b72b59,FI,Sebastian,Mitchell,358227855315,sebastian90@gmail.com
6f54215d719cf12e824457d49c3aa5e3,FI,Joseph,Flores,358060239774,j.flores@live.fi
d47dfab14054ac2b522f83111731132e,FI,Abigail,Anderson,35842721427,abigailanderson@hotmail.com
cc97bffac4adc76d574d985dc753a324,NL,Liam,Turner,31455243242,liam80@gmail.com
8da4cddcacbb34a39817d927de8ed256,EE,Emily,Lopez,37211304840,emily.lopez@mail.ee
425698dea48319d29d0ecbe2ff803cc9,EE,Natalie,Rodriguez,372788342737,n.rodriguez@hot.ee
0ecb5eb54ebdd10b7fe8ea2fa413fc0f,EE,Lucas,Nelson,372400110066,lucas28@gmail.com
5c43ffb5479b9d00782030b2cc0d438f,FI,Riley,Cruz,358241803013,riley.cruz@gmail.com
a5d42c9375ee0134c32337f8878973b9,EE,Lucas,Reyes,372981245572,lucas.reyes@gmail.com
18059005a579d1b5dff914871ad3811b,EE,Luke,Jones,372643673129,luke63@mail.ee
212c9ca68b71544efc830f76a5f0c77d,FI,Emma,Evans,35892563473,emma61@live.fi
38389b8af57ac2232b003470e1c1cd75,FI,Riley,Evans,358425234069,r.evans@hotmail.com
e88db954203c3f34898466974eba0deb,NL,Olivia,Turner,3150355998,olivia.turner@gmail.com
53a4e401a1ffaa3fc11da2586dc3d0e0,NL,Emily,Wright,31476405849,emilywright@gmail.com
421896d86bb09246819bb84779457fa4,NL,Wyatt,Nguyen,31034895556,w.nguyen@outlook.com
